Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,74.050003,75.800003,73.550003,75.099998,73.895027,4224763
2022-09-13,75.500000,78.500000,74.750000,77.900002,76.650101,7314051
2022-09-14,76.750000,84.250000,76.150002,83.300003,81.963463,15352795
2022-09-15,83.500000,88.949997,80.300003,84.750000,83.390190,26352387
2022-09-16,85.000000,101.699997,83.349998,90.500000,89.047935,19771126
2022-09-19,90.000000,90.699997,83.750000,84.599998,83.242599,16592631
2022-09-20,85.800003,87.800003,84.650002,85.699997,84.324951,9683636
2022-09-21,85.699997,86.500000,80.199997,82.000000,80.684319,5928135
2022-09-22,81.699997,85.500000,80.849998,85.000000,83.636185,8880506
2022-09-23,85.300003,85.900002,82.000000,84.300003,82.947418,8465703
2022-09-26,79.099998,81.900002,78.500000,79.300003,78.027641,8946288
2022-09-27,80.750000,81.500000,78.000000,79.849998,78.568810,6718177
2022-09-28,77.800003,80.900002,77.250000,80.199997,78.913193,5201611
2022-09-29,81.449997,82.449997,76.800003,78.250000,76.994484,6327686
2022-09-30,78.250000,82.400002,77.650002,81.500000,80.192337,6300771
2022-10-03,81.300003,82.449997,78.400002,78.849998,77.584854,4079977
2022-10-04,80.849998,81.500000,79.699997,80.900002,79.601967,3375723
2022-10-06,81.849998,82.000000,80.900002,81.599998,80.290733,2978336
2022-10-07,81.599998,84.750000,81.150002,84.099998,82.750618,5254284
2022-10-10,83.500000,84.599998,82.050003,83.500000,82.160248,3644893
2022-10-11,83.500000,84.000000,82.150002,82.500000,81.176292,3125683
2022-10-12,83.500000,83.500000,82.150002,82.750000,81.422287,3203729
2022-10-13,82.650002,84.000000,82.349998,82.800003,81.471481,3119060
2022-10-14,84.000000,87.599998,82.900002,84.000000,82.652229,9065175
2022-10-17,83.199997,85.900002,83.150002,85.400002,84.029762,6059517
2022-10-18,86.400002,93.849998,85.750000,92.750000,91.261833,15511682
2022-10-19,93.650002,95.099998,90.000000,90.650002,89.195534,10715740
2022-10-20,90.750000,93.500000,88.550003,92.250000,90.769859,7306030
2022-10-21,93.500000,94.250000,88.050003,90.949997,89.490715,13280683
2022-10-24,93.000000,93.849998,90.199997,91.400002,89.933495,1637968
2022-10-25,91.500000,93.699997,90.349998,92.550003,91.065048,6248002
2022-10-27,94.000000,100.900002,93.650002,100.300003,98.690697,25358225
2022-10-28,100.349998,100.550003,96.650002,97.849998,96.280006,9624928
2022-10-31,98.849998,104.750000,98.199997,104.000000,102.331329,21126965
2022-11-01,104.449997,106.000000,99.000000,99.750000,98.149521,12534723
2022-11-02,101.000000,101.650002,97.000000,97.699997,96.132408,6236116
2022-11-03,97.849998,102.349998,97.349998,100.949997,99.330261,10295722
2022-11-04,101.500000,102.000000,99.599998,100.250000,98.641495,5525170
2022-11-07,101.199997,104.500000,101.000000,103.099998,101.445770,9305552
2022-11-09,103.800003,104.500000,98.699997,99.550003,97.952728,6870297
2022-11-10,99.550003,100.900002,93.400002,95.400002,93.869316,8327795
2022-11-11,97.949997,100.250000,97.000000,99.800003,98.198723,6191942
2022-11-14,99.349998,101.949997,97.800003,101.050003,99.428665,5140559
2022-11-15,101.750000,103.199997,100.849998,101.650002,100.019035,4001761
2022-11-16,101.199997,105.400002,101.150002,104.599998,102.921700,10348882
2022-11-17,104.000000,104.500000,101.400002,102.550003,100.904594,3751580
2022-11-18,102.550003,103.500000,100.000000,102.500000,100.855392,3329995
2022-11-21,102.000000,104.000000,100.150002,103.400002,101.740959,3338992
2022-11-22,103.000000,103.050003,100.849998,101.650002,100.019035,1984004
2022-11-23,102.050003,104.900002,100.750000,102.050003,100.412621,6230307
2022-11-24,101.900002,104.000000,101.250000,102.750000,101.101387,3047907
2022-11-25,102.750000,104.000000,101.500000,103.000000,101.347374,4391991
2022-11-28,103.500000,104.800003,101.900002,102.250000,100.609406,2552779
2022-11-29,103.199997,103.199997,95.550003,99.599998,98.001923,7095757
2022-11-30,100.199997,102.250000,98.250000,100.150002,98.543106,5469455
2022-12-01,101.250000,101.750000,99.050003,99.949997,98.346306,3152315
2022-12-02,100.000000,100.800003,98.800003,99.150002,97.559151,2686532
2022-12-05,99.300003,101.250000,94.150002,99.349998,97.755936,16575045
2022-12-06,99.949997,102.500000,99.800003,101.000000,99.379463,7319692
2022-12-07,101.000000,103.650002,100.250000,101.099998,99.477859,6685726
2022-12-08,102.500000,111.900002,101.449997,110.900002,109.120621,25028924
2022-12-09,111.000000,111.500000,106.400002,108.099998,106.365540,9242215
2022-12-12,107.000000,109.699997,105.250000,108.400002,106.660736,5146296
2022-12-13,108.900002,111.000000,108.349998,109.699997,107.939873,5356888
2022-12-14,110.150002,114.900002,110.150002,111.199997,109.415802,7809763
2022-12-15,111.000000,116.199997,110.099998,112.800003,110.990135,7797209
2022-12-16,111.400002,112.900002,110.099998,111.000000,109.219017,4677043
2022-12-19,111.250000,114.900002,107.800003,114.099998,112.269272,6076034
2022-12-20,112.750000,114.099998,110.300003,113.150002,111.334518,4186976
2022-12-21,114.000000,114.199997,107.750000,109.349998,107.595490,7992210
2022-12-22,110.750000,110.900002,106.349998,109.199997,107.447891,7436986
